,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail
48,송림체육관,ME000076,01,06,인천광역시 동구 염전로 30,null,37.4855897,126.6473026,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811082810,20220810213859,20220810221558,20220811075406,,50,단독,28,28140,A0,A004,N,,N,,N,
49,홈플러스 인하점,ME000077,01,03,인천광역시 미추홀구 소성로 6,null,37.44690295,126.65056482,09:00~24:00,ME,환경부,환경부,1661-9408,9,20210902133810,20210902130020,20210902130301,,,50,단독,28,28177,E0,E001,N,,N,,N,
50,이마트 연수점,ME000079,01,03,인천광역시 연수구 경원대로 184,null,37.4047181,126.68192511,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210909110810,20210905153350,20210905161425,,,50,단독,28,28185,E0,E001,N,,N,,N,
51,홈플러스 구월점,ME000081,01,03,인천광역시 남동구 예술로 198,null,37.45195982,126.70177106,09:00~24:00,ME,환경부,환경부,1661-9408,9,20211022141310,20211014122024,20211014130039,,,50,단독,28,28200,E0,E001,N,,N,,N,
52,홈플러스 가좌점,ME000085,01,03,인천광역시 서구 가정로151번길 11,null,37.497573,126.670692,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211019122310,20211018123804,20211018125252,,,50,단독,28,28260,E0,E001,N,,N,,N,
53,광주시청,ME000088,01,06,광주광역시 서구 내방로 111,null,35.160317,126.849815,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210830174310,20140925205054,20140925205054,,,50,단독,29,29140,A0,A001,N,,N,,N,
54,광주시청,ME000088,02,06,광주광역시 서구 내방로 111,null,35.160317,126.849815,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210830174310,20140919143545,20140919143545,,,50,단독,29,29140,A0,A001,N,,N,,N,
55,광주문화예술회관,ME000090,01,03,광주광역시 북구 북문대로 60,null,35.177718,126.881703,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210928115810,20210914123804,20210914125135,,,50,단독,29,29170,A0,A004,N,,N,,N,
56,홈플러스 동대전점,ME000094,01,03,대전광역시 동구 한밭대로 1282,null,36.353803,127.437375,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211019103810,20211017164503,20211017172547,,,50,단독,30,30110,E0,E001,N,,N,,N,
57,대전월드컵경기장,ME000096,01,06,대전광역시 유성구 월드컵대로 32,null,36.363604,127.32591,,ME,환경부,환경부,1661-9408,9,20220811124310,20220810140150,20220810144230,,,50,단독,30,30200,A0,A004,N,,N,,N,
58,농소2동 주민센터,ME000102,01,06,울산광역시 북구 찬샘1길 24,null,35.638203,129.3480953,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811111543,20220811111928,,,50,단독,31,31200,A0,A002,N,,N,,N,
59,홈플러스 동수원점,ME000106,01,03,경기도 수원시 팔달구 효원로 257,null,37.26286532,127.02963007,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211007154310,20210719110657,20210719110740,,,50,단독,41,41110,E0,E001,N,,N,,N,
60,이마트 서수원점,ME000107,01,03,경기도 수원시 권선구 수인로 291,null,37.282506,126.970137,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211124162310,20210620142534,20210620143448,,,50,단독,41,41110,E0,E001,N,,N,,N,
61,장안구청,ME000108,01,06,경기도 수원시 장안구 송원로 101,null,37.304438,127.010121,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811094810,20220809012551,20220809020153,,,50,단독,41,41110,A0,A001,N,,N,,N,
62,롯데마트 영통점,ME000110,01,06,경기도 수원시 영통구 봉영로 1579,null,37.252726,127.071649,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220810104829,20220810111714,,,50,단독,41,41110,E0,E001,N,,N,,N,
63,이마트 성남점,ME000111,01,03,경기도 성남시 수정구 수정로 201,null,37.44396711,127.14108755,10:00~22:00,ME,환경부,환경부,1661-9408,9,20211019144810,20210824130038,20210824132425,,,50,단독,41,41130,E0,E001,N,,N,,N,
64,동양컴퓨터학원 앞(공중전화부스),ME000113,01,06,경기도 성남시 중원구 중앙동 1175,null,37.4398788,127.1455762,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220819173310,20220811010446,20220811014453,20220811121009,,50,단독,41,41130,G0,G003,N,,N,,N,
65,성남 맛고을 주차장,ME000115,01,06,경기도 성남시 분당구 야탑로 111번길 12-14,null,37.4119752,127.1320774,,ME,환경부,환경부,1661-9408,9,20220425015810,20220423125507,20220423133543,,,50,단독,41,41130,B0,B004,N,,N,,N,
66,하나로마트 성남점,ME000116,01,06,경기도 성남시 분당구 성남대로 43번길 11 ,null,37.3378677,127.1086182,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811075613,20220811082017,,,50,단독,41,41130,E0,E001,N,,N,,N,
67,홈플러스 의정부점,ME000117,01,03,경기도 의정부시 청사로 38,null,37.75264066,127.07132022,10:00~23:40,ME,환경부,환경부,1661-9408,9,20220811122310,20220809110506,20220809110532,,,50,단독,41,41150,E0,E001,N,,N,,N,
68,홈플러스 안양점,ME000118,01,03,경기도 안양시 동안구 엘에스로 92,null,37.370042,126.953179,09:00~24:00,ME,환경부,환경부,1661-9408,9,20220819173310,20220810144700,20220810150302,,,50,단독,41,41170,E0,E001,N,,N,,N,
69,안양시청,ME000119,01,06,경기도 안양시 동안구 관앙동 1590,null,37.394966,126.957851,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220217154310,20220126093614,20220126095937,,,50,단독,41,41170,A0,A001,N,,N,,N,
70,이마트 중동점,ME000120,01,03,경기도 부천시 원미구 석천로 188,null,37.50395069,126.76409287,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211124162310,20211018113644,20211018113856,,,50,단독,41,41190,E0,E001,N,,N,,N,
71,홈플러스 안산점,ME000124,01,03,경기도 안산시 상록구 충장로 432,null,37.317494,126.850333,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803111810,20210501142602,20210422164031,,,50,단독,41,41270,E0,E001,N,,N,,N,
72,롯데마트 주엽점,ME000128,01,03,경기도 고양시 일산서구 중앙로 1496,null,37.673095,126.755524,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211124162310,20211022124347,20211022131956,,,50,단독,41,41280,E0,E001,N,,N,,N,
73,롯데마트 고양점,ME000129,01,03,경기도 고양시 덕양구 충장로 150,null,37.625167,126.836274,10:00~23:00,ME,환경부,환경부,1661-9408,9,20211124162310,20211105125332,20211105131850,,,50,단독,41,41280,E0,E001,N,,N,,N,
74,고양종합운동장 부설주차장,ME000130,01,06,경기도 고양시 일산서구 중앙로 1601,null,37.678997,126.741799,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210914110810,20210913142409,20210913142841,,,50,단독,41,41280,A0,A004,Y,,N,,N,
75,이마트 다산점,ME000132,01,03,경기도 남양주시 도농로 24,null,37.608762,127.159746,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803111810,20210410125144,20210410131102,,,50,단독,41,41360,E0,E001,N,,N,,N,
76,롯데마트 마석점,ME000134,01,06,경기도 남양주시 화도읍 경춘로 1992,null,37.650216,127.309384,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20211124230810,20211124170657,20211124174704,,,50,단독,41,41360,E0,E001,N,,N,,N,
77,홈플러스 시화점,ME000135,01,03,경기도 시흥시 희망공원로 269,null,37.345145,126.725226,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211023183310,20211016181037,20211016183711,,,50,단독,41,41390,E0,E001,N,,N,,N,
78,의왕휴게소(서울방향),ME000136,01,06,경기도 의왕시 오전로 24,null,37.347493,126.985383,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910095810,20210801183651,20210801185325,,,50,단독,41,41430,C0,C002,N,,N,,N,
79,의왕휴게소(의왕방향),ME000137,01,06,경기도 의왕시 오전로 24,null,37.348306,126.983728,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220504173810,20220504155000,20220504163006,,,50,단독,41,41430,C0,C002,N,,N,,N,
80,이마트 하남점,ME000138,01,03,경기도 하남시 덕풍서로 70,null,37.552817,127.205407,10:00~24:00,ME,환경부,환경부,1661-9408,9,20220117135310,20210503122158,20210503130225,,,50,단독,41,41450,E0,E001,N,,N,,N,
